COADD_ID,COMPOUND_CODE,PROJECT_ID,LIBRARY_NAME,ASSAY_ID,ORGANISM,STRAIN,NASSAYS,INHIB_AVE,INHIB_STD,CONC,SMILES,DRVAL_TYPE,DRVAL_MEDIAN,DRVAL_UNIT,DMAX_AVE,MIC_OPERATOR,MW,logP,TPSA,HBD,HBA,RotBonds,Rings,ArRings,QED,MIC_VALUE_uM
CO-ADD:0232383,A1036/0048531,CO-ADD:PC0250,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,14.91,0.27,32 ug/mL,[N+](=O)([O-])c(ccc1c2c3c([nH]1)CCCC3)c2,MIC,>32,ug/mL,16.8,>,216.23999999999995,2.954900000000001,58.93,1,2,1,3,2,0.5881000288469854,147.98372179060306
CO-ADD:0228929,A0942/0044095,CO-ADD:PC0245,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,9.69,5.61,32 ug/mL,S(=O)(=O)(c1ccc(cc1)\N=C\c2cc(Br)ccc2O)c3ccc(cc3)\N=C\c(cc(Br)cc4Br)c4O,MIC,>32,ug/mL,18.7,>,693.2110000000002,7.719300000000007,99.32000000000001,2,6,6,4,4,0.20227457350087436,46.161991082080334
CO-ADD:0228251,A0889/0041739,CO-ADD:PC0245,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,8.02,4.04,32 ug/mL,N1(CN2CCCCC2)C(=O)\C(\SC1=O)=C/c3ccccc3F,MIC,>32,ug/mL,30.05,>,320.389,3.3054000000000023,40.620000000000005,0,4,3,3,1,0.8013304635046182,99.8785850949939
CO-ADD:0232382,A1036/0048529,CO-ADD:PC0250,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,11.86,0.67,32 ug/mL,[nH]1c(ccc(c2)Br)c2c3c1CCCC3,MIC,>32,ug/mL,15.3,>,250.13899999999992,3.8092000000000024,15.79,1,0,0,3,2,0.7313223663999301,127.92887154741967
CO-ADD:0137596,DB1-frac 1,CO-ADD:PC0079,University of Strathclyde (UK),GN_001,Escherichia coli,ATCC 25922,2,4.63,0.0,32 ug/mL,O=C(NCCC(N)=N)C1=CC(NC(C2=CC(NC(C)=O)=CN2C)=O)=CN1C.OC(C(F)(F)F)=O,MIC,>32,ug/mL,13.1,>,487.4390000000002,1.2634699999999999,184.32999999999998,6,5,7,2,2,0.25218190475826646,65.64924021262145
CO-ADD:0254295,A1553/0067648,CO-ADD:PC0340,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,9.95,7.29,32 ug/mL,N1(C(C)(C)C)\C(=N\c2ccccc2)\SC(CC(=O)Nc3ccccc3C)C1=O,MIC,>32,ug/mL,11.95,>,395.52800000000013,4.753820000000004,61.77,1,4,4,3,2,0.8122519378369596,80.90451244918182
CO-ADD:0249553,A1549/0067419,CO-ADD:PC0328,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,0.9,4.47,32 ug/mL,C1(C2=O)C(C(C=C3)OC13C)C(N2c4ccc(cc4)OC)=O,MIC,>32,ug/mL,14.15,>,285.29900000000004,1.5281,55.839999999999996,0,4,2,4,1,0.6105804476778002,112.16302896259712
CO-ADD:0137575,AIK-29/40,CO-ADD:PC0079,University of Strathclyde (UK),GN_001,Escherichia coli,ATCC 25922,2,100.46,0.31,32 ug/mL,CN1C=C(NC(C(C=N2)=CC=C2/C=C/C(C=C3)=CC=C3OC)=O)C=C1C(NC4=CN(C)C(C(NCCN5CCOCC5)=O)=C4)=O.OC(C(F)(F)F)=O.OC(C(F)(F)F)=O,MIC,>32,ug/mL,4.8,>,839.7470000000006,4.770800000000002,206.34999999999994,5,9,11,5,4,0.13016367826355266,38.10671547501804
CO-ADD:0254451,A1645/0070366,CO-ADD:PC0340,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,21.8,3.23,32 ug/mL,c1(N\N=C(/C)\CC(OCC)=O)nnc(C)n1N.Cl,MIC,>32,ug/mL,34.75,>,276.728,0.4631199999999996,107.42,2,7,5,1,1,0.3501353239179958,115.6370154086323
CO-ADD:0250522,A1711/0072956,CO-ADD:PC0332,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,4.51,4.55,32 ug/mL,N1(CN2CCCCCC2)N=C(OC1=S)c3ccc(cc3)C,MIC,>32,ug/mL,19.25,>,303.43100000000004,4.014510000000003,34.2,0,4,3,3,2,0.8022582744235883,105.4605495153758
